transaction_id,transaction_amount,login_attempts,device_risk_score,transfer_frequency,anomaly_score,account_age_days,transaction_time_hour,failed_transactions_last_30d,avg_monthly_balance,daily_transaction_count,geo_distance_km,session_duration_minutes,transaction_velocity_score,payment_channel,authentication_type,card_present_flag,international_transaction_flag,suspicious_ip_flag,fraud_flag
1000018,4512.38,7,81.7,50,0.18,3846,8,1,327360.87,63,1831,119,0,Mobile App,OTP,0,1,0,FALSE
1000019,12683.75,12,47.7,62,0.1,3557,10,1,150099.57,55,4680,93,31,Mobile App,OTP,1,0,1,FALSE
1000020,14596.35,9,79.4,69,0.34,3051,20,13,313939.47,11,9073,30,11.3,Mobile App,OTP,0,1,0,FALSE
1000021,12673.19,3,95.5,50,0.12,3541,7,1,169331.98,75,13493,117,20.8,Mobile App,OTP,1,0,0,FALSE
1000022,6453.5,10,72.3,58,0.03,3776,5,17,378238.76,59,3152,54,39.7,Web Banking,Two-Factor Authentication,1,0,0,FALSE
1000023,3610.57,2,69.1,75,0.54,4768,21,16,7664.55,36,4645,28,4.3,Mobile App,Biometric,1,0,1,FALSE
1000024,3935.5,2,74.7,27,0.86,1639,18,18,198562.2,45,13965,104,15.7,Mobile App,OTP,0,0,1,TRUE
1000025,10102.58,9,98.3,31,0.24,1058,4,22,453347.64,21,4136,5,0,POS Terminal,Two-Factor Authentication,1,1,0,FALSE
1000026,19033.56,7,15.6,28,0.29,4214,5,10,174391.58,76,12805,104,54.3,Web Banking,OTP,1,0,0,FALSE
1000027,24756.41,7,37.1,13,0.02,1457,17,7,37438.11,98,12417,72,34.6,Mobile App,Password Only,0,1,1,FALSE
1000028,4312.6,11,12.6,68,0.87,2527,20,16,59044.12,88,12943,89,83,POS Terminal,OTP,1,1,0,TRUE
1000029,11564.08,7,68.5,54,0.18,2046,14,22,195684.62,51,14616,20,8.8,Mobile App,OTP,0,0,1,FALSE
1000030,4357.29,10,39,11,0.73,2978,13,23,476435.32,14,266,96,93,Mobile App,Two-Factor Authentication,0,1,0,TRUE
1000031,11719.56,6,69.2,34,0.3,1438,10,7,67944.26,19,11138,5,64,POS Terminal,Two-Factor Authentication,1,1,1,FALSE
1000032,19875.19,1,80.8,60,0.07,75,17,7,366019.09,67,7487,56,23.6,ATM,OTP,1,0,0,FALSE
1000033,17276.92,1,29,65,0.69,860,14,7,270500.39,31,4579,15,56.7,Mobile App,OTP,1,0,0,TRUE
1000034,2083.89,12,80.9,31,0.35,3888,11,17,494819.35,87,5601,73,2.4,Web Banking,OTP,1,1,0,FALSE
1000035,3918.3,1,10.5,80,0.17,3664,1,7,123363.33,93,10955,94,34.8,Web Banking,OTP,1,0,0,FALSE
1000036,2291.61,8,43.4,7,0.23,4465,2,24,113022.3,36,13546,76,81.2,Mobile App,Two-Factor Authentication,1,1,0,FALSE
1000037,14397.8,10,27.5,44,0.17,4394,16,18,316940.52,27,1389,80,48.1,Mobile App,Biometric,0,0,1,FALSE
1000038,4641.96,7,100,48,0.61,1758,6,8,24950.82,18,3394,73,4.7,Mobile App,Password Only,0,1,1,FALSE
1000039,20471.46,9,84.7,31,0.28,2845,4,16,213670.97,46,10917,116,13,POS Terminal,Two-Factor Authentication,1,1,0,FALSE
1000040,20252.1,1,33.7,80,0.01,4548,21,19,441114.51,82,6268,65,91.4,Mobile App,OTP,0,0,1,FALSE
1000041,474.41,12,59.2,5,0.43,4950,15,23,354426.27,54,11813,105,45.5,Web Banking,Two-Factor Authentication,1,0,1,FALSE
1000042,10739.2,4,83.1,57,0.06,88,15,12,173136.38,77,3163,25,84.6,Mobile App,OTP,0,1,1,FALSE
1000043,4320.67,12,52.7,59,0.32,617,14,16,263409.84,55,13267,57,100,Mobile App,Biometric,0,1,0,FALSE
1000044,9277.28,12,14.5,45,0.01,1769,12,16,394244.14,118,10586,62,93.8,Web Banking,Password Only,1,1,1,FALSE
1000045,24344.24,9,69.8,21,0.04,1216,10,1,159177.36,41,1964,64,87.5,Web Banking,OTP,0,1,1,FALSE
1000046,22344.79,5,29.1,17,0.32,418,7,22,234711.07,31,14557,103,82.8,Mobile App,Two-Factor Authentication,1,1,0,FALSE
1000047,24322.76,6,51,10,0.29,3578,5,22,15285.78,117,14540,24,19.8,Mobile App,OTP,1,1,1,FALSE
1000048,3241.92,9,50,75,0.31,2075,21,1,289689.77,68,2109,115,6.7,Web Banking,Two-Factor Authentication,0,0,1,FALSE
1000049,14552.88,11,26.5,74,0.26,2029,11,25,434772.14,86,1478,120,24.2,Mobile App,OTP,0,1,0,FALSE
1000050,9582.21,1,55.2,35,0.23,3832,14,21,446582.24,44,2058,120,21.6,Mobile App,Two-Factor Authentication,1,1,1,FALSE
1000051,14476.99,7,71.2,58,0.01,379,15,24,35207.23,47,9098,47,80.2,Web Banking,Two-Factor Authentication,0,0,1,FALSE
1000052,18723.27,2,75.8,65,0.15,4828,23,5,15995.21,60,9148,62,0,Web Banking,OTP,0,1,1,FALSE
1000053,11092.51,12,97.5,56,0.2,4689,20,12,206991.5,109,11115,42,23.9,Mobile App,OTP,0,1,1,FALSE
1000054,10075.07,5,7.7,47,0.47,4052,15,24,169718.29,62,3073,3,56.6,Web Banking,Two-Factor Authentication,1,0,1,FALSE
1000055,16686.33,7,28.7,1,0.34,1506,7,24,424262.68,86,14182,113,8.3,POS Terminal,OTP,1,0,1,FALSE
1000056,8487.53,9,74,77,0.01,3345,15,11,367147.03,14,3769,102,50.6,Mobile App,Two-Factor Authentication,1,0,1,FALSE
1000057,17151.19,4,44.7,4,0.34,3635,3,16,122711.92,39,4078,13,85.5,Web Banking,OTP,0,0,0,FALSE
1000058,24973.28,12,52.8,52,0.21,4123,20,0,83288.01,38,2144,85,27.8,Mobile App,Biometric,0,0,0,FALSE
1000059,7432.85,12,62.5,56,0.96,4113,13,19,864.2,101,11534,9,10.5,Mobile App,Password Only,1,1,1,TRUE
1000060,9502.93,9,24.3,74,0.16,647,23,13,295962.71,37,2756,53,78.3,Mobile App,Two-Factor Authentication,0,1,1,FALSE
1000061,3075.33,12,76.7,29,0.39,1823,18,25,373886.25,27,11164,2,64.4,Mobile App,OTP,1,0,0,FALSE
1000062,15552.41,12,93.2,77,0.14,2563,13,11,16566.71,95,7837,82,30.5,ATM,Two-Factor Authentication,0,1,0,FALSE
1000063,11087.49,2,13.9,18,0.45,2434,12,9,76380.7,91,8875,90,47.1,Mobile App,OTP,1,1,0,FALSE
1000064,7661.03,6,96.2,55,0.71,4295,6,12,278493.68,84,7272,53,34.8,Web Banking,OTP,1,1,1,TRUE
1000065,17016.85,4,68.7,43,0.13,13,19,16,344479.72,33,1966,97,78.8,Mobile App,Two-Factor Authentication,1,1,1,FALSE
1000066,1046.68,4,67.2,2,0.22,1288,17,23,235563.82,55,9828,37,64.5,Mobile App,Two-Factor Authentication,0,1,1,FALSE
1000067,255.17,9,89.2,63,0.82,913,14,15,366342.82,119,10577,88,30,Web Banking,Two-Factor Authentication,0,1,1,TRUE
1000068,5506.82,3,60.3,20,0.34,359,1,16,468617.4,48,10646,1,91.1,Web Banking,OTP,0,1,1,FALSE
1000069,19772.91,12,2.6,31,0.8,2163,8,6,247914.28,107,11876,90,92.3,ATM,Biometric,1,0,0,TRUE
1000070,6139.17,6,0,0,0.46,2723,8,15,471190.1,36,6402,42,62.5,ATM,Biometric,1,0,0,FALSE
1000071,5733.47,5,10.1,73,0.19,237,13,2,204721.12,91,3904,33,43,Mobile App,Biometric,0,1,0,FALSE
1000072,7633.15,1,15.5,19,0.25,1141,18,6,317847.27,66,6028,27,66.7,Web Banking,Password Only,1,0,1,FALSE
1000073,22625.89,12,76.9,5,0.08,2116,15,3,240056.84,89,9284,35,0,Mobile App,OTP,0,1,0,FALSE
1000074,928.16,4,38.1,4,0.06,1439,21,20,247130.16,100,12549,74,45.7,Web Banking,Two-Factor Authentication,0,1,0,FALSE
1000075,16773.45,1,69.8,68,0.74,590,22,19,158634.19,89,13127,11,43.4,POS Terminal,OTP,1,0,0,FALSE
1000076,18846.61,4,99.4,45,0.52,1252,9,1,130087.08,110,9219,7,30.7,Mobile App,Two-Factor Authentication,0,1,0,FALSE
1000077,12838.98,4,88,22,0.27,139,21,12,358069.62,42,8704,21,1.2,Mobile App,OTP,0,1,0,FALSE
1000078,9908.57,5,14.1,45,0.46,882,8,14,88633.45,66,270,49,77.8,Web Banking,Two-Factor Authentication,1,0,0,FALSE
1000079,13370.19,6,45.3,70,0.35,3191,8,2,78893.03,29,8187,12,28.3,Web Banking,Biometric,0,1,1,FALSE
1000080,10630.47,3,26.3,72,0.16,1286,0,14,215247.41,38,4844,35,0.3,Mobile App,Two-Factor Authentication,0,0,0,FALSE
1000081,4028.75,1,72,4,0.35,3804,17,21,68224.77,3,4954,45,77.6,POS Terminal,OTP,1,1,0,FALSE
1000082,12127.86,1,55.6,62,0.99,3001,21,1,440193.45,93,4868,119,90.1,Web Banking,Two-Factor Authentication,1,0,0,TRUE
1000083,2434.65,1,47.4,19,0.56,4881,3,25,30733.95,7,6670,51,96.5,Mobile App,OTP,0,1,1,FALSE
1000084,16616.27,11,22.6,63,0.27,4803,21,16,156533.4,38,4056,82,0,Mobile App,Biometric,0,1,1,FALSE
1000085,1800.95,6,42.4,80,0.56,2010,3,5,428683.96,3,12453,69,34,Web Banking,Password Only,1,0,0,FALSE
1000086,16458.84,8,71.4,44,0.01,3414,20,17,108317.88,63,3443,114,49.4,Mobile App,Biometric,1,1,1,FALSE
1000087,23441.61,8,50.4,70,0.43,4688,17,6,467916.47,87,3898,56,56.7,Mobile App,Two-Factor Authentication,0,0,1,FALSE
1000088,1905.93,3,12.4,60,0.3,4010,23,11,358008.48,42,13411,38,89.9,Web Banking,Password Only,1,1,1,FALSE
1000089,7283.1,2,0,55,0.23,2198,8,24,100585.85,34,13627,53,52.9,Web Banking,Biometric,1,1,1,FALSE
1000090,8442.85,9,24.3,43,0.3,693,18,9,308802.65,42,11559,58,37.7,Web Banking,Password Only,1,1,1,FALSE
1000091,16552.98,7,3.7,20,0.92,2473,22,11,489132.72,45,10011,53,20.5,Mobile App,Two-Factor Authentication,1,1,0,TRUE
1000092,13480.9,11,19.6,16,0.01,1781,19,5,81507.1,65,9754,54,27.6,Web Banking,Two-Factor Authentication,1,1,0,FALSE
1000093,21255.83,3,30.6,17,0.28,3554,3,14,35540.51,58,12538,16,0.3,POS Terminal,OTP,0,1,1,FALSE
1000094,23941.92,2,3.2,36,0.34,697,5,4,459276.56,88,1442,118,38.4,Mobile App,Password Only,0,1,1,FALSE
1000095,17623.97,2,28.8,80,0.55,2169,18,23,333986.46,14,5120,27,74.1,Web Banking,Biometric,1,1,1,FALSE
1000096,20710.66,11,21.9,59,0.19,756,13,8,15769.77,41,5731,79,69.6,POS Terminal,Password Only,1,0,1,FALSE
1000097,3877.26,4,48.5,33,0.13,2054,22,3,159620.08,42,14609,64,12.3,Web Banking,OTP,0,0,0,FALSE
1000098,10636.88,3,72,19,0.19,4792,18,17,110564.16,50,4095,97,31.4,Web Banking,OTP,1,1,1,FALSE
1000099,6427.59,2,0,41,0.44,3865,19,22,204770.31,96,9334,104,83.5,Mobile App,OTP,0,0,1,FALSE
1000100,12405.38,6,48.3,32,0.25,905,10,1,21895.6,34,8046,34,93.5,Web Banking,Password Only,1,1,0,FALSE
1000101,24988.53,2,61.1,61,0.4,1007,13,4,465368.61,89,6536,71,14.4,Web Banking,Password Only,0,1,1,FALSE
1000102,10359.16,3,32.1,10,0.37,2020,16,17,196701.32,92,10021,13,26.3,Web Banking,Password Only,1,1,1,FALSE
1000103,11823.28,4,57.1,70,0.3,2610,20,8,186581.78,96,5555,33,21.6,POS Terminal,Biometric,1,1,0,FALSE
1000104,15038.73,6,96.4,47,0.45,1788,5,20,240595.65,13,14218,60,35.8,Mobile App,OTP,1,0,1,FALSE
1000105,22229.17,10,21.6,24,0.62,3210,14,14,443675.49,66,8736,78,100,Mobile App,OTP,0,1,0,FALSE
1000106,18303.09,3,47.9,64,0.22,364,0,13,402895.39,107,12535,77,13.6,Mobile App,Biometric,1,1,1,FALSE
1000107,5625.46,8,62.1,10,0.21,4872,5,21,241128.6,50,7017,16,86.6,Web Banking,Two-Factor Authentication,1,1,1,FALSE
1000108,6574.05,1,59.4,48,0.02,3179,16,6,64962.54,82,10857,118,11.9,Mobile App,OTP,0,0,0,FALSE
1000109,22049.72,7,57.5,45,0.33,1712,14,24,91029.94,12,10635,91,72.9,Web Banking,Two-Factor Authentication,0,0,1,FALSE
1000110,7376.4,2,10.7,1,0.33,4313,22,21,427093.95,37,14343,95,91.3,Mobile App,Biometric,1,0,0,FALSE
1000111,21378.98,7,26.8,47,0.28,3249,6,17,142436.92,119,6656,112,67.6,Mobile App,Password Only,0,1,1,FALSE
1000112,21771.08,1,54.4,29,0.24,2093,22,9,34171.63,102,9975,105,29.4,Mobile App,OTP,1,0,0,FALSE
1000113,10042.93,6,28.2,21,0.03,293,22,8,318443.87,38,13150,33,85.9,ATM,OTP,1,0,0,FALSE
1000114,3585.13,7,14.6,66,0.2,4861,23,18,21830.24,116,1910,60,59.8,Web Banking,Biometric,0,1,1,FALSE
1000115,20464.69,4,67.4,75,0.22,2225,7,10,98321.34,96,14124,89,25.3,POS Terminal,OTP,0,0,0,FALSE
1000116,19653.42,12,38.4,23,0.14,855,15,22,340386.13,96,1943,58,62.6,Web Banking,Two-Factor Authentication,0,1,0,FALSE
1000117,15557.62,6,13.4,70,0.25,4015,22,17,3778.39,101,12329,14,27.9,Mobile App,Biometric,0,0,0,FALSE
1000118,491.09,12,6.6,16,0.35,2078,6,17,348784.09,118,5410,20,63.7,Mobile App,OTP,0,1,0,FALSE
1000119,14621.08,12,51.7,75,0.62,3353,22,4,43684.58,45,10058,18,65.8,POS Terminal,Password Only,0,1,1,FALSE
1000120,22096.73,5,55.2,69,0.31,1371,21,10,498206.15,118,3819,95,39.7,Web Banking,OTP,0,0,1,FALSE
1000121,13983.36,2,73.2,0,0.06,1210,13,5,90277.27,76,12533,33,53.9,Mobile App,OTP,1,1,1,FALSE
1000122,16320.15,10,67,18,0.01,1094,9,1,381875.06,34,9905,85,82.5,Web Banking,OTP,1,0,0,FALSE
1000123,3617.97,2,42.4,78,0.01,540,11,17,366560.3,112,12039,89,33.7,Mobile App,Two-Factor Authentication,0,0,1,FALSE
1000124,7893.85,6,80.1,20,0.28,2601,7,22,431186.61,102,5990,10,84.3,Mobile App,Biometric,1,1,1,FALSE
1000125,2424.68,6,38.7,60,0.29,2208,3,4,317591.09,4,4168,92,32.4,Mobile App,OTP,0,0,0,FALSE
1000126,80.7,3,74.8,78,0.72,2611,15,7,373640.06,81,3391,15,73.6,ATM,OTP,1,1,0,FALSE
1000127,12006.36,2,18.8,58,0.25,1360,20,18,111998.29,118,11604,68,87.1,Mobile App,Password Only,0,0,1,FALSE
1000128,15579.1,11,73.9,16,0.33,2357,0,19,491215.97,11,2777,26,20.2,Mobile App,OTP,0,0,0,FALSE
1000129,13010.59,12,24.3,7,0.27,1967,13,11,443522.28,97,1514,26,40.5,Mobile App,Two-Factor Authentication,1,1,1,FALSE
1000130,5344.4,5,36.5,54,0.07,3707,12,11,379190.81,88,13446,31,26.5,Mobile App,OTP,0,1,1,FALSE
1000131,19631.6,1,90.2,4,0.49,3681,14,21,203745.39,40,11264,17,61.7,Web Banking,Two-Factor Authentication,0,0,0,FALSE
1000132,23971.96,5,82,27,0.42,3138,21,16,399840.85,49,9543,105,46.8,Mobile App,Two-Factor Authentication,1,0,1,FALSE
1000133,12139.16,4,23.4,53,0.42,2890,11,5,364527.49,9,6649,66,56.2,Mobile App,Biometric,0,1,0,FALSE
1000134,2100.37,9,58.3,15,0.12,1372,0,3,197578.24,110,9765,53,62.7,POS Terminal,Password Only,0,1,0,FALSE
1000135,13722.9,11,78.4,25,0.53,4891,10,20,224810.52,94,8758,69,88.7,Mobile App,OTP,1,1,0,FALSE
1000136,3499.31,8,8.2,8,0.03,3210,18,25,373443.16,77,11266,2,41,Mobile App,Password Only,0,0,0,FALSE
1000137,2303.32,9,42.7,54,0.39,1673,9,7,456509.83,18,12941,1,35,Mobile App,Biometric,0,1,0,FALSE
1000138,2631.74,5,49,79,0.67,1563,14,17,121341.51,36,12018,64,66,Web Banking,Two-Factor Authentication,0,0,0,FALSE
1000139,1919.65,2,0,73,0.1,894,17,22,410449.82,47,6255,21,4.6,ATM,Biometric,0,0,0,FALSE
1000140,19639.24,12,89.9,51,0.18,4645,4,1,418916.87,33,14702,67,39.7,Mobile App,Two-Factor Authentication,0,1,0,FALSE
1000141,5093.35,4,69.3,5,0.3,1104,7,0,360524.21,114,7139,1,32,ATM,Two-Factor Authentication,1,0,0,FALSE
1000142,9379.88,12,71.6,50,0.19,242,18,22,197935.15,52,13067,93,59.3,Web Banking,Two-Factor Authentication,1,1,0,FALSE
1000143,6293.3,11,35.6,16,0.01,4862,21,14,435564.24,25,13140,18,0,Web Banking,OTP,0,0,0,FALSE
1000144,8448.46,6,27.5,24,0.29,1147,23,1,159149.22,46,4338,104,67.8,Mobile App,Two-Factor Authentication,1,1,1,FALSE
1000145,13050.66,10,75.5,8,0.09,4563,2,25,461209.87,90,14432,54,4.4,Mobile App,Biometric,1,1,0,FALSE
1000146,23408.59,1,19.4,38,0.37,117,15,9,432347.21,40,11985,83,15.8,Web Banking,OTP,0,0,1,FALSE
1000147,13519.31,8,18.7,23,0.11,2199,16,8,459629.03,108,10925,73,11.5,ATM,Two-Factor Authentication,0,0,0,FALSE
1000148,10316.42,6,95.1,50,0.6,289,13,2,158259.82,102,12331,118,76.6,Web Banking,Two-Factor Authentication,0,0,1,TRUE
1000149,2387.54,6,55.3,31,0.56,3003,5,2,80711.69,48,8213,85,60,Mobile App,OTP,0,1,0,FALSE
1000150,11079.64,9,65.2,63,0.14,320,9,17,395466.31,116,5250,27,16.5,Mobile App,Two-Factor Authentication,1,1,1,FALSE
1000151,9312.34,7,45.4,14,0.22,2828,4,12,319235.07,103,6767,28,13,Web Banking,OTP,1,1,0,FALSE
1000152,9071.61,1,47.8,69,0.43,358,4,10,2193.35,117,2250,85,2.8,Web Banking,OTP,0,0,0,FALSE
1000153,22329,9,14.4,25,0.06,1170,13,4,222017.46,11,6038,17,45.6,Mobile App,OTP,0,0,0,FALSE
1000154,21981.24,5,29.5,54,0.61,3140,9,9,41729.12,29,1628,79,57.1,Mobile App,OTP,0,0,0,TRUE
1000155,16973.25,10,93.4,19,0.86,1090,0,6,53965.81,113,3171,71,24.4,Mobile App,OTP,1,1,0,TRUE
1000156,21126.67,5,30.8,11,0.6,4634,3,18,325993.65,64,6327,117,24.5,Web Banking,OTP,1,1,0,TRUE
1000157,16112.81,11,0.1,67,0.32,2313,19,22,7527.45,94,3459,100,43.1,Web Banking,Biometric,1,0,1,FALSE
1000158,15975.19,9,88.9,18,0.52,3296,15,14,244389.18,29,11946,37,24.6,ATM,Password Only,1,1,1,FALSE
1000159,16642.04,6,100,11,0.11,1760,16,7,384873.17,24,38,90,30.8,Web Banking,Password Only,0,1,1,FALSE
1000160,16895.55,8,28.5,53,0.31,3361,3,19,93926.1,44,2488,3,78,Mobile App,OTP,0,1,0,FALSE
1000161,20424.07,6,12.2,61,0.33,4205,11,5,267037.66,50,5847,33,43.3,Web Banking,OTP,0,0,0,FALSE
1000162,1059.63,12,17.1,60,0.42,3160,12,11,387671.28,14,5940,44,50.9,POS Terminal,OTP,0,1,0,FALSE
1000163,17273.14,4,9.1,34,0.06,1075,15,19,484066.97,68,6535,4,34.9,POS Terminal,OTP,0,0,1,FALSE
1000164,19238.75,12,30.4,54,0.72,3876,10,1,320494.65,43,11479,42,82.8,ATM,OTP,1,0,0,TRUE
1000165,6966.27,12,17.9,7,0.04,2057,15,11,347988.31,101,557,88,73.8,Mobile App,Password Only,1,1,1,FALSE
1000166,584.41,9,21.8,57,0.37,25,10,2,50696.13,76,4624,35,29.1,Web Banking,OTP,0,0,0,FALSE
1000167,10060.22,9,40.9,36,0.33,1148,21,1,212148.86,9,2544,103,36.1,ATM,Two-Factor Authentication,0,1,1,FALSE
1000168,8675.41,11,100,47,0.33,2978,9,20,256746.85,16,14281,74,98.4,Web Banking,OTP,0,1,1,FALSE
1000169,16203.5,9,59.2,19,0.34,492,0,21,465431.32,93,8858,34,66.3,Mobile App,Biometric,0,0,0,FALSE
1000170,3740.83,3,11.4,5,0.16,167,8,23,9672.96,19,1838,98,99.1,POS Terminal,Password Only,0,1,1,FALSE
1000171,20788.72,10,0,25,0.32,943,21,1,483967.24,7,7533,39,93.6,Mobile App,OTP,0,0,1,FALSE
1000172,21499.68,11,79.3,37,0.01,1603,7,1,485596.02,1,8090,88,1.9,Mobile App,OTP,0,1,0,FALSE
1000173,22984,9,31.7,57,0.92,2323,9,8,150844.62,108,13795,105,71.8,Mobile App,Two-Factor Authentication,1,1,0,TRUE
1000174,13700.32,10,77,22,0.15,3775,12,5,470130.15,93,3224,47,87.6,Web Banking,OTP,0,1,0,FALSE
1000175,19654.49,3,71,41,0.81,923,17,2,369996.92,88,10664,43,99.4,Mobile App,Biometric,1,0,1,TRUE
1000176,11589.13,6,83,48,0.62,1288,12,18,210948.79,81,13962,71,80.9,Mobile App,Biometric,1,0,1,FALSE
1000177,10696.69,10,60,33,0.37,4610,12,1,15763.56,59,3154,99,0.6,Web Banking,Password Only,1,1,1,FALSE
1000178,6100.68,6,41.8,15,0.79,2839,14,4,461787.85,79,4053,14,7,Web Banking,Two-Factor Authentication,0,1,1,TRUE
1000179,16463.91,10,32,62,0.89,1265,18,25,193749.5,70,14456,52,48.7,Web Banking,OTP,0,0,0,TRUE
1000180,24811.39,12,71.8,15,0.07,278,4,19,372059.74,54,937,84,17.5,Mobile App,Password Only,1,0,1,FALSE
1000181,6256.41,11,72.9,23,0.4,3043,20,25,433333.67,74,8146,33,62.7,Web Banking,OTP,1,1,0,FALSE
1000182,16702.38,12,37.8,18,0.1,1693,14,9,464816.49,117,8063,73,55.8,Mobile App,OTP,1,1,0,FALSE
1000183,13536.94,9,55.4,3,0.42,4723,13,17,195811.93,62,7484,54,59.6,Mobile App,Password Only,0,0,0,FALSE
1000184,6140.14,10,36.9,66,0.73,2803,22,24,299745.57,96,13625,112,68.6,Mobile App,Biometric,1,1,0,TRUE
1000185,3664.24,2,61.2,34,0.49,4926,5,15,40475.64,2,12164,14,53.8,ATM,OTP,1,0,0,FALSE
1000186,8867.37,8,25.6,69,0.13,598,21,12,289967.85,103,294,25,37.1,Mobile App,Biometric,1,0,0,FALSE
1000187,18000.13,5,43.3,21,0.99,1154,6,18,310276.68,32,1815,38,16.7,Mobile App,Password Only,0,0,0,TRUE
1000188,14121.42,8,75.3,34,0.45,3262,19,25,157772.84,24,9337,85,58.3,Mobile App,Two-Factor Authentication,1,1,0,FALSE
1000189,7948.4,6,51.3,14,0.35,3911,19,8,283007.83,66,4720,60,42.2,Web Banking,Password Only,1,1,0,FALSE
1000190,12791.3,5,84.7,46,0.43,1920,1,11,40401.82,23,2725,73,77.1,POS Terminal,Biometric,0,0,0,FALSE
1000191,4032.59,9,5.9,64,0.62,4970,7,14,282646.84,119,8782,108,63.7,POS Terminal,Biometric,1,0,0,FALSE
1000192,3201.81,7,0,15,0.27,1138,7,15,294028.51,4,6870,88,93.3,Mobile App,Password Only,1,0,0,FALSE
1000193,55.43,2,5.3,31,0.42,4924,5,8,366596.26,73,4190,21,13.7,Mobile App,Password Only,1,0,1,FALSE
1000194,23769.34,8,34.2,3,0.12,1517,6,21,83105.06,118,13712,38,86.4,Mobile App,Password Only,0,1,0,FALSE
1000195,5446.32,7,29.5,9,0.67,2100,1,20,204630.19,22,3398,9,35,Web Banking,OTP,1,1,0,TRUE
1000196,23102.58,5,100,13,0.13,2960,2,21,483911.04,98,1816,87,28.9,Mobile App,Password Only,1,1,1,FALSE
1000197,2824.19,6,87.6,3,0.4,205,6,13,419374.45,109,1353,22,85.6,Mobile App,Biometric,1,1,1,FALSE
1000198,5447.91,12,53.7,67,0.34,3257,17,12,265752.06,29,9988,90,98.7,Web Banking,OTP,0,0,1,FALSE
1000199,17173.14,5,58.5,17,0.33,4196,14,4,89969.11,119,7456,10,84.6,Mobile App,OTP,0,0,0,FALSE
1000200,4030.6,10,69.4,61,0.87,2315,3,4,113813.01,95,6024,18,32.3,Mobile App,Password Only,1,0,1,TRUE
1000201,118.16,2,41.2,5,0.43,260,19,13,143821.02,106,8924,70,61.5,Mobile App,Two-Factor Authentication,0,1,0,FALSE
1000202,851.7,1,14.9,5,0.28,2715,2,8,38263.13,14,14196,16,65.4,Mobile App,Password Only,0,1,0,FALSE
1000203,4868.9,2,10.8,15,0.54,4396,14,2,48789.43,54,4688,57,66.8,Web Banking,OTP,1,1,0,FALSE
1000204,19468.41,3,54.6,38,0.23,1372,23,25,57261.63,116,5804,37,30.5,POS Terminal,Password Only,0,1,1,FALSE
1000205,8742.18,1,88.4,5,0.77,2135,2,20,417175.13,21,7770,3,20.6,Mobile App,Password Only,0,1,0,FALSE
1000206,15641.55,8,0,35,0.39,1371,8,15,74639.35,118,4255,73,23.9,Mobile App,Biometric,0,0,0,FALSE
